コース名,住所,lat,lng,holes,par

鷹の巣ゴルフクラブ,広島県廿日市市河津原137-2,34.37011553001112, 132.2040589730142,18,72,4,4,3,4,5,4,5,3,4,4,4,5,3,4,4,3,4,5

千代田ゴルフ倶楽部,広島県山県郡北広島町寺原2851,34.696192130994945, 132.48330742112208,18,72,5,4,4,3,4,4,5,3,4,4,5,4,4,3,5,4,3,4

戸山カンツリークラブ,広島県広島市安佐南区沼田町阿戸字城山1568-1,34.34.49284801885823, 132.35558608650712,18,72,4,4,4,3,5,4,3,5,4,5,4,3,4,4,3,5,4,4

広島安佐ゴルフクラブ,広島県広島市安佐北区安佐町筒瀬1471-21,34.48875391139654, 132.4642299386287,18,72,4,4,5,3,5,4,3,4,4,5,3,4,4,4,3,4,5,4

広島西カントリー倶楽部,広島県廿日市市大野2392,34.31614874442181, 132.1744223865071,18,72,4,3,4,4,5,4,3,5,4,4,3,4,4,5,3,5,4,4

福山ゴルフ倶楽部,広島県福山市御幸町中津原1225-1,34.52699754445625, 133.36117365582146,18,72,5,4,4,3,3,5,4,3,5,5,4,4,3,3,5,4,3,5

福山東ゴルフクラブ,広島県福山市春日町宇山137,34.52757163642492, 133.3979250991147,18,72,4,4,3,5,4,3,4,5,4,4,5,4,4,3,5,3,4,4

本郷カントリー倶楽部,広島県三原市本郷町南方松屋根1251-1,34.3867006279245, 132.9490090865071,18,72,5,4,3,4,4,5,4,3,4,4,3,4,5,4,4,4,3,5

松永カントリークラブ,広島県福山市神村町1388,34.47734159836619, 133.2608118423286,18,72,4,4,4,3,4,5,3,4,5,4,3,4,4,4,5,4,5,3

宮島カンツリー倶楽部,広島県広島市佐伯区三宅町1050,34.37680391667378, 132.3379914576714,18,70,4,4,3,5,4,4,4,3,4,4,4,3,5,4,4,4,3,4

宮島志和カンツリー倶楽部,広島県東広島市志和町大字七条椛坂488-2,34.46697010438298, 132.64715907301428,18,72,4,5,4,4,3,4,4,3,5,5,4,3,4,4,3,4,5,4

八千代カントリークラブ リバーコース,広島県安芸高田市八千代町佐々井979-1,34.6306810345992, 132.60179880424306,9,36,4,3,4,3,5,4,4,5,4

八千代カントリークラブ ルートコース,広島県安芸高田市八千代町佐々井979-1,34.6306810345992, 132.60179880424306,9,36,4,4,4,3,5,5,3,4,4

八千代カントリークラブ レイクコース,広島県安芸高田市八千代町佐々井979-1,34.6306810345992, 132.60179880424306,9,36,4,5,3,5,3,4,4,4,4

リージャスクレストゴルフクラブグランド,広島県安芸高田市高宮町房後856,34.74481798310975, 132.7305217353453,18,72,5,4,4,3,5,4,3,4,4,5,4,3,4,4,4,3,4,5

リージャスクレストゴルフクラブロイヤル,広島県安芸高田市高宮町房後816,34.747716719795505, 132.74379359353048,18,72,4,5,4,3,4,4,5,3,4,4,5,4,3,4,4,3,4,5

